Trade Show Name,Show Year,Show Location,Show Month,Exhibitor Company,Stand Number,Country of Origin,Sector,Stand Size (sqm),Stand Type,Company Website,LinkedIn Page,Key Contact Name,Key Contact Title,Contact Email,Priority (H/M/L),Notes,Source,Date Added
Heimtextil,2026.0,"Frankfurt, Germany",Jan,Formesse,Hall 12.0 Booth B91,Germany,Bedding & Sleep Products,Unknown,Unknown,https://www.formesse.de,https://www.linkedin.com/company/formesse-gmbh/,Unknown,Unknown,contact@formesse.de*,H,Listed as Heimtextil exhibitor,Heimtextil exhibitor sources,2026-06-18
Heimtextil,2026.0,"Frankfurt, Germany",Jan,Hermann Biederlack,Hall 6.1 Booth D30,Germany,Bedding & Sleep Products,Unknown,Unknown,https://www.biederlack.de,https://www.linkedin.com/in/lotty-biederlack-605105276/,Lotty Biederlack,Managing Director,shop@biederlack.de,H,Listed as exhibitor,Heimtextil exhibitor sources,2026-06-18
Heimtextil,2026.0,"Frankfurt, Germany",Jan,Lameirinho,Hall 5.0 Booth C68,Portugal,Bedding & Sleep Products,Unknown,Unknown,https://www.lameirinho.pt,https://www.linkedin.com/company/lameirinho/,Unknown,Export / Sales Team,geral@lameirinho.pt*,H,European manufacturer,Heimtextil exhibitor sources,2026-06-18
Heimtextil,2026.0,"Frankfurt, Germany",Jan,HEFEL Textil,Hall 4.0 Booth C40,Austria,Bedding & Sleep Products,Unknown,Unknown,https://www.hefel.com,https://www.linkedin.com/company/hefel-textil/,Denise Hartmann,Marketing,denise.hartmann@hefel.com,H,Premium bedding producer,Heimtextil exhibitor sources,2026-06-18
Heimtextil,2026.0,"Frankfurt, Germany",Jan,OBB Oberbadische Bettfedernfabrik,Hall 4.0 Booth D11,Germany,Bedding & Sleep Products,Unknown,Unknown,https://www.obb.de,https://www.linkedin.com/company/obb-oberbadische-bettfedernfabrik-gmbh/,Hyuk Chan Kwon,Head of Sales Export,hyuk.kwon@obb.de,H,Bedding manufacturer,Heimtextil exhibitor sources,2026-06-18
Heimtextil,2026.0,"Frankfurt, Germany",Jan,ABC Italia S.r.l.,Hall 12.0 Booth B80,Italy,Home Textiles & Soft Furnishings,Unknown,Unknown,https://abcitalia.net/en/,https://www.linkedin.com/company/abc-italia-srl/,Unknown,Export / Sales Team,info@abcitalia.net,M,Italian exhibitor,Heimtextil exhibitor sources,2026-06-18
Heimtextil,2026.0,"Frankfurt, Germany",Jan,ADVANSA Marketing GmbH,Hall 4.0 Booth C11,Germany,Bedding & Sleep Products,Unknown,Unknown,https://www.advansa.com,https://www.linkedin.com/company/advansa/,Michael Knapstein,Chief Executive Officer (CEO),info@advansa.com,H,Fibre producer,Heimtextil exhibitor sources,2026-06-18
Heimtextil,2026.0,"Frankfurt, Germany",Jan,Boyteks Tekstil,Hall 4.0 Booth E11,Türkiye,Bedding & Sleep Products,Unknown,Unknown,https://www.boyteks.com,https://www.linkedin.com/company/boyteks-tekstil-mattress-ticking/,Ali Osman Boyacı,Export Sales Manager,export@boyteks.com,H,Major textile manufacturer,Heimtextil exhibitor sources,2026-06-18
Heimtextil,2026.0,"Frankfurt, Germany",Jan,Marzotto Lab,Hall 6.1 Booth F10,Italy,Home Textiles & Soft Furnishings,Unknown,Standard,https://www.marzottolab.it,https://www.linkedin.com/company/lanerossi/posts/?feedView=all,Unknown,Business Development / Sales Team,info@marzottolab.it,H,Officially listed Heimtextil 2026 exhibitor,Messe Frankfurt,2026-06-18
Heimtextil,2026.0,"Frankfurt, Germany",Jan,Mundotextil - Industrias Texteis,Hall 5.0 Booth C49,Portugal,Bedding & Sleep Products,Unknown,Standard,https://www.mundotextil.com,https://www.linkedin.com/company/mundotextil/,Paulo Vaz,Commercial Director,geral@mundotextil.com,H,Officially listed Heimtextil 2026 exhibitor,Messe Frankfurt,2026-06-18
